,,,,Target,Phase 1,,,,Phase 2,,,,Phase 3,,Phase 4,,,
feature,source_group,probe_group,system,required_count,patients_collected,Gap (required- pass- pending),patients_pending_multiframe,patients_pending_multiframe_not_collected,patients_pending_curation,patients_pass_curation,patients_failed_curation,Total patients was curated (K+L),pending_annotations,Complete_annotations (number of frames?),Pending Review-,Frames_pass_Review,Frames_failed_Review,Total Frames was Reviewed
Blines Peds,external,12L / L412t,Chameleon,9,0,,0,0,0,0,0,,,,,,,
Blines Peds,external,3Sc,Chameleon,9,0,,0,0,0,0,0,,,,,,,
Blines Peds,external,4Sc,Chameleon,9,0,,0,0,0,0,0,,,,,,,
Blines Peds,external,8C,Chameleon,9,0,,0,0,0,0,0,,,,,,,
Blines Peds,external,9L,Chameleon,9,0,,0,0,0,0,0,,,,,,,
Blines Peds,external,L420t,Chameleon,9,0,,0,0,0,0,0,,,,,,,
Blines Peds total,,,,54,0,,0,0,0,0,0,,,,,,,
acvr,internal,12L / L412t,Chameleon,6,2,,4,4,0,2,0,,,,,,,
acvr,internal,15C,Chameleon,6,5,,1,1,0,5,0,,,,,,,
acvr,internal,29C,Chameleon,6,2,,4,4,0,2,0,,,,,,,
acvr,internal,9L,Chameleon,6,6,,0,0,0,6,0,,,,,,,
acvr,internal,Air12L,Chameleon,6,1,,4,4,0,1,0,,,,,,,
acvr,internal,Air15C,Chameleon,8,2,,2,2,0,2,0,,,,,,,
acvr,internal,L1022,Chameleon,6,1,,4,4,1,0,0,,,,,,,
acvr,internal,L420t,Chameleon,5,1,,4,4,0,1,0,,,,,,,
acvr,internal,L818i / L8-18t,Chameleon,6,3,,8,6,3,0,0,,,,,,,
acvr,internal,ML615,Chameleon,5,2,,5,5,0,2,0,,,,,,,
acvr total,,,,60,25,,36,34,4,21,0,,,,,,,
avf,external,12L / L412t,Chameleon,12,0,,0,0,0,0,0,,,,,,,
avf,external,9L,Chameleon,12,0,,0,0,0,0,0,,,,,,,
avf,external,L420t,Chameleon,12,0,,0,0,0,0,0,,,,,,,
avf,external,L818i / L8-18t,Chameleon,14,0,,0,0,0,0,0,,,,,,,
avf total,,,,50,0,,0,0,0,0,0,,,,,,,
b-lines,external,12L / L412t,Chameleon,4,0,,0,0,0,0,0,,,,,,,
b-lines,internal,12L / L412t,Chameleon,3,0,,0,0,0,0,0,,,,,,,
b-lines,external,15C,Chameleon,4,0,,0,0,0,0,0,,,,,,,
b-lines,internal,15C,Chameleon,3,0,,0,0,0,0,0,,,,,,,
b-lines,external,4Sc,Chameleon,4,0,,0,0,0,0,0,,,,,,,
b-lines,internal,4Sc,Chameleon,3,1,,3,2,1,0,0,,,,,,,
b-lines,external,8C,Chameleon,4,0,,0,0,0,0,0,,,,,,,
b-lines,internal,8C,Chameleon,3,0,,0,0,0,0,0,,,,,,,
b-lines,external,9L,Chameleon,4,0,,0,0,0,0,0,,,,,,,
b-lines,internal,9L,Chameleon,3,0,,0,0,0,0,0,,,,,,,
b-lines,external,Air12L,Chameleon,4,0,,0,0,0,0,0,,,,,,,
b-lines,internal,Air12L,Chameleon,3,0,,0,0,0,0,0,,,,,,,
b-lines,external,Air15C,Chameleon,4,0,,0,0,0,0,0,,,,,,,
b-lines,internal,Air15C,Chameleon,3,0,,0,0,0,0,0,,,,,,,
b-lines,external,Air3Sc,Chameleon,4,0,,0,0,0,0,0,,,,,,,
b-lines,internal,Air3Sc,Chameleon,3,0,,0,0,0,0,0,,,,,,,
b-lines,external,L420t,Chameleon,4,0,,0,0,0,0,0,,,,,,,
b-lines,internal,L420t,Chameleon,3,0,,2,2,0,0,0,,,,,,,
b-lines,external,M5Sc,Chameleon,4,0,,0,0,0,0,0,,,,,,,
b-lines,internal,M5Sc,Chameleon,3,1,,3,2,1,0,0,,,,,,,
b-lines total,,,,70,2,,8,6,2,0,0,,,,,,,
